name,iso_a3,currency_code,local_price,dollar_ex,GDP_dollar,GDP_local,date
Denmark,DNK,DKK,28,4.7044,58786.14,320014.158,2008-06-01
Egypt,EGY,EGP,13,5.3125,1862.164,10640.477,2008-06-01
Euro area,EUZ,EUR,3.36856,0.630497147,40064.4998882942,29230.5167731805,2008-06-01
Britain,GBR,GBP,2.29,0.501039657,50651.344,25305.843,2008-06-01
Hong Kong,HKG,HKD,13.3,7.7974,30494.551,237915.946,2008-06-01
Hungary,HUN,HUF,670,144.2578,13920.455,2556155.176,2008-06-01
Indonesia,IDN,IDR,18700,9152,2064.003,18867051.35,2008-06-01
Japan,JPN,JPY,280,106.855,36198.824,4262539.226,2008-06-01
South Korea,KOR,KRW,3200,1018.05,25075.287,23304365.63,2008-06-01
Sri Lanka,LKA,LKR,210,107.55,1928.714,213364.891,2008-06-01
Mexico,MEX,MXN,32,10.1685,10063.621,109977.177,2008-06-01
Malaysia,MYS,MYR,5.5,3.238,7480.905,25716.236,2008-06-01
Norway,NOR,NOK,40,5.07915,86372.215,506285.131,2008-06-01
New Zealand,NZL,NZD,4.9,1.3177,31908.027,43346.032,2008-06-01
Pakistan,PAK,PKR,140,70.9,1146.082,69491.716,2008-06-01
Peru,PER,PEN,9.5,2.84,3638.948,11368.075,2008-06-01
Philippines,PHL,PHP,87,44.485,1764.683,81437.301,2008-06-01
Poland,POL,PLN,7,2.03145,11271.071,31197.761,2008-06-01
Russia,RUS,RUB,59,23.2336,9685.931,247624.208,2008-06-01
Saudi Arabia,SAU,SAR,10,3.74955,19196.07,71985.261,2008-06-01
Singapore,SGP,SGD,3.95,1.35275,39432.895,59429.381,2008-06-01
Sweden,SWE,SEK,38,5.96085,53365.334,360684.017,2008-06-01
Thailand,THA,THB,62,33.36,3918.528,135260.465,2008-06-01
Turkey,TUR,TRY,5.15,1.19275,9790.887,12725.639,2008-06-01
Taiwan,TWN,TWD,75,30.3625,17723.704,582093.712,2008-06-01
Ukraine,UKR,UAH,11,4.6,3219.884,16260.416,2008-06-01
Uruguay,URY,UYU,61,19.15,7622.824,178473.822,2008-06-01
United States,USA,USD,3.21,1,47943.353,47943.353,2008-06-01
South Africa,ZAF,ZAR,16.95,7.56325,6737.429,47528.635,2008-06-01
UAE,ARE,AED,10,3.673,48548.6,178294.735,2009-07-01
Argentina,ARG,ARS,11.5,3.81125,9146.79,28925.107,2009-07-01
Australia,AUS,AUD,4.34,1.2869,49335.216,57684.142,2009-07-01
Brazil,BRA,BRL,8.03,1.9971,8863.269,16253.168,2009-07-01
Canada,CAN,CAD,3.89,1.16085,46773.744,49911.651,2009-07-01
Switzerland,CHE,CHF,6.5,1.08605,75664.809,81951.798,2009-07-01
Chile,CHL,CLP,1750,548.55,10769.752,5626773.714,2009-07-01
China,CHN,CNY,12.5,6.8327,3505.657,24348.353,2009-07-01
Colombia,COL,COP,7000,2095.6,5622.1,11048198.64,2009-07-01
Costa Rica,CRI,CRC,2000,582.57,6993.896,3680436.753,2009-07-01
Czech Republic,CZE,CZK,67.92,18.66155,22895.716,390350.892,2009-07-01
Denmark,DNK,DKK,29.5,5.3375,64826.681,330494.9,2009-07-01
Egypt,EGY,EGP,13,5.58475,2271.232,12521.23,2009-07-01
Euro area,EUZ,EUR,3.31,0.716897269,43743.574381777,29745.5090100632,2009-07-01
Britain,GBR,GBP,2.29,0.620886626,48143.081,25915.777,2009-07-01
Hong Kong,HKG,HKD,13.3,7.7505,31487.94,245191.344,2009-07-01
Hungary,HUN,HUF,720,199.1577,15751.94,2711118.865,2009-07-01
Indonesia,IDN,IDR,20900,10200,2416.785,23440305.61,2009-07-01
Israel,ISR,ILS,15,3.97425,30240.201,108502.482,2009-07-01
Japan,JPN,JPY,320,92.565,40411.185,4176879.583,2009-07-01
South Korea,KOR,KRW,3400,1314.5,22291.166,24523087.57,2009-07-01
Sri Lanka,LKA,LKR,210,114.86,2410.801,261101.401,2009-07-01
Mexico,MEX,MXN,33,13.8104,10438.499,116177.533,2009-07-01
Malaysia,MYS,MYR,6.77,3.602,8766.178,29220.29,2009-07-01
Norway,NOR,NOK,40,6.50925,98612.685,556175.542,2009-07-01
New Zealand,NZL,NZD,4.9,1.59235,31819.378,44529.094,2009-07-01
Pakistan,PAK,PKR,190,82.6,1228.232,76821.582,2009-07-01
Peru,PER,PEN,8.056,3.0274,4248.777,12495.654,2009-07-01
Philippines,PHL,PHP,99.39,48.385,2011.634,89466.537,2009-07-01
Poland,POL,PLN,7.6,3.15525,14052.295,33855.374,2009-07-01
Russia,RUS,RUB,67,32.7959,12371.087,307529.059,2009-07-01
Saudi Arabia,SAU,SAR,11,3.7504,23403.651,87763.689,2009-07-01
Singapore,SGP,SGD,4.22,1.4645,40008.577,56606.568,2009-07-01
Sweden,SWE,SEK,39,7.90915,55595.816,366437.537,2009-07-01
Thailand,THA,THB,64.49,34.165,4309.135,143551.514,2009-07-01
Turkey,TUR,TRY,5.65,1.55005,11089.025,14203.976,2009-07-01
Taiwan,TWN,TWD,75,33.1755,18053.591,569304.959,2009-07-01
Ukraine,UKR,UAH,14,7.66,4095.441,21556.695,2009-07-01
Uruguay,URY,UYU,61,23.17,9857.305,206366.78,2009-07-01
United States,USA,USD,3.43,1,48470.553,48470.553,2009-07-01
South Africa,ZAF,ZAR,17.95,8.2805,6321.162,52161.174,2009-07-01
UAE,ARE,AED,11,3.673,48548.6,178294.735,2010-01-01
Argentina,ARG,ARS,7,3.7985,9146.79,28925.107,2010-01-01
Australia,AUS,AUD,4.35,1.09355,49335.216,57684.142,2010-01-01
Brazil,BRA,BRL,8.2,1.7233,8863.269,16253.168,2010-01-01
Canada,CAN,CAD,4.12,1.0368,46773.744,49911.651,2010-01-01
Switzerland,CHE,CHF,6.5,1.03115,75664.809,81951.798,2010-01-01
Chile,CHL,CLP,1600,503.1,10769.752,5626773.714,2010-01-01
China,CHN,CNY,12.5,6.8272,3505.657,24348.353,2010-01-01
Colombia,COL,COP,8200,2095.6,5622.1,11048198.64,2010-01-01
Costa Rica,CRI,CRC,2050,582.57,6993.896,3680436.753,2010-01-01
Czech Republic,CZE,CZK,67.64,18.21005,22895.716,390350.892,2010-01-01
Denmark,DNK,DKK,30.94,5.16195,64826.681,330494.9,2010-01-01
Egypt,EGY,EGP,13,5.465,2271.232,12521.23,2010-01-01
Euro area,EUZ,EUR,3.36,0.693649638,43743.574381777,29745.5090100632,2010-01-01
Britain,GBR,GBP,2.29,0.623752495,48143.081,25915.777,2010-01-01
Hong Kong,HKG,HKD,14.8,7.75655,31487.94,245191.344,2010-01-01
Hungary,HUN,HUF,720,186.6508,15751.94,2711118.865,2010-01-01
Indonesia,IDN,IDR,20900,9320,2416.785,23440305.61,2010-01-01
Israel,ISR,ILS,14.9,3.7325,30240.201,108502.482,2010-01-01
Japan,JPN,JPY,320,91.54,40411.185,4176879.583,2010-01-01
South Korea,KOR,KRW,3400,1140.5,22291.166,24523087.57,2010-01-01
Sri Lanka,LKA,LKR,210,114.86,2410.801,261101.401,2010-01-01
Mexico,MEX,MXN,32,12.81375,10438.499,116177.533,2010-01-01
Malaysia,MYS,MYR,7.05,3.3875,8766.178,29220.29,2010-01-01
Norway,NOR,NOK,40,5.69555,98612.685,556175.542,2010-01-01
New Zealand,NZL,NZD,4.9,1.35685,31819.378,44529.094,2010-01-01
Pakistan,PAK,PKR,200,82.6,1228.232,76821.582,2010-01-01
Peru,PER,PEN,8.056,2.8705,4248.777,12495.654,2010-01-01
Philippines,PHL,PHP,101.52,45.92,2011.634,89466.537,2010-01-01
Poland,POL,PLN,8.1,2.83565,14052.295,33855.374,2010-01-01
Russia,RUS,RUB,70,29.927,12371.087,307529.059,2010-01-01
Saudi Arabia,SAU,SAR,10,3.7502,23403.651,87763.689,2010-01-01
Singapore,SGP,SGD,4.45,1.39555,40008.577,56606.568,2010-01-01
Sweden,SWE,SEK,39,7.0821,55595.816,366437.537,2010-01-01
Thailand,THA,THB,70,33.135,4309.135,143551.514,2010-01-01
Turkey,TUR,TRY,5.65,1.47455,11089.025,14203.976,2010-01-01
Taiwan,TWN,TWD,75,31.8425,18053.591,569304.959,2010-01-01
Ukraine,UKR,UAH,14,7.66,4095.441,21556.695,2010-01-01
Uruguay,URY,UYU,77,23.17,9857.305,206366.78,2010-01-01
United States,USA,USD,3.43,1,48470.553,48470.553,2010-01-01
South Africa,ZAF,ZAR,17.95,7.3045,6321.162,52161.174,2010-01-01
UAE,ARE,AED,11,3.67285,37428.383,137455.736,2010-07-01
Argentina,ARG,ARS,14,3.93375,8337.811,31093.737,2010-07-01
Australia,AUS,AUD,4.35,1.133722578,45926.875,58039.508,2010-07-01
Brazil,BRA,BRL,8.71,1.77495,8640.934,17254.073,2010-07-01
Canada,CAN,CAD,4.17,1.04235,40989.278,46790.712,2010-07-01
Switzerland,CHE,CHF,6.5,1.05085,73143.933,79590.963,2010-07-01
Chile,CHL,CLP,1750,523.65,10192.185,5703691.273,2010-07-01
China,CHN,CNY,13.2,6.7769,3878.98,26497.295,2010-07-01
Colombia,COL,COP,8200,1868.45,5330.75,11501616.64,2010-07-01
Costa Rica,CRI,CRC,2000,522.115,6879.266,3943794.751,2010-07-01
Czech Republic,CZE,CZK,67.64,19.7476,19863.767,378437.284,2010-07-01
Denmark,DNK,DKK,28.5,5.81365,58536.553,313806.655,2010-07-01
Egypt,EGY,EGP,13,5.699,2578.884,14250.299,2010-07-01
Euro area,EUZ,EUR,3.380031071,0.78015291,39531.3019034714,28373.0810053559,2010-07-01
Britain,GBR,GBP,2.29,0.657375756,39158.587,25046.257,2010-07-01
Hong Kong,HKG,HKD,14.8,7.7742,30593.991,237156.966,2010-07-01
Hungary,HUN,HUF,740,221.96915,13040.321,2638600.239,2010-07-01
Indonesia,IDN,IDR,22780,9063,2469.384,25656746.41,2010-07-01
Israel,ISR,ILS,14.9,3.8619,28482.937,112004.464,2010-07-01
Japan,JPN,JPY,320,87.18,41840.391,3915009.143,2010-07-01
South Korea,KOR,KRW,3400,1204.45,19933.009,25458538.18,2010-07-01
Sri Lanka,LKA,LKR,210,112.775,2472.242,284252.723,2010-07-01
Mexico,MEX,MXN,32,12.782,8346.772,112793.89,2010-07-01
Malaysia,MYS,MYR,7.05,3.2135,7543.886,26589.239,2010-07-01
Norway,NOR,NOK,45,6.24625,81703.288,513777.506,2010-07-01
New Zealand,NZL,NZD,5,1.39275766,28340.557,44682.106,2010-07-01
Pakistan,PAK,PKR,210,85.525,1108.978,87175.873,2010-07-01
Peru,PER,PEN,10,2.8275,4297.95,12919.817,2010-07-01
Philippines,PHL,PHP,102,46.47,1923.674,91638.499,2010-07-01
Poland,POL,PLN,8.3,3.1969,11562.706,36072.175,2010-07-01
Russia,RUS,RUB,71,30.44325,9091.086,289013.768,2010-07-01
Saudi Arabia,SAU,SAR,10,3.75045,18836.967,70638.626,2010-07-01
Singapore,SGP,SGD,4.23,1.3742,38926.813,56619.622,2010-07-01
Sweden,SWE,SEK,48.4,7.37355,46496.672,355877.119,2010-07-01
Thailand,THA,THB,70,32.305,4135.44,141786.757,2010-07-01
Turkey,TUR,TRY,5.95,1.5293,9108.034,14068.911,2010-07-01
Taiwan,TWN,TWD,75,32.1055,16904.543,558805.035,2010-07-01
Ukraine,UKR,UAH,14.5,7.899,2654.986,20685.632,2010-07-01
Uruguay,URY,UYU,79,21.1,10232.122,230759.935,2010-07-01
United States,USA,USD,3.53,1,47102.428,47102.428,2010-07-01
South Africa,ZAF,ZAR,18.45,7.5365,6521.544,55022.814,2010-07-01
UAE,ARE,AED,12,3.67305,44180.166,162251.661,2011-07-01
Argentina,ARG,ARS,20,4.1325,10412.974,40739.985,2011-07-01
Australia,AUS,AUD,4.56,0.922381589,56757.308,61726.324,2011-07-01
Austria,AUT,EUR,3.09,0.697520315,46662.235,35169.02,2011-07-01
Belgium,BEL,EUR,3.75,0.697520315,44460.655,33509.703,2011-07-01
Brazil,BRA,BRL,9.5,1.5416,11341.268,19953.07,2011-07-01
Canada,CAN,CAD,4.73,0.94585,47625.742,49059.883,2011-07-01
Switzerland,CHE,CHF,6.5,0.80615,78278.897,81637.503,2011-07-01
Chile,CHL,CLP,1850,462.75,12748.117,6504715.834,2011-07-01
China,CHN,CNY,14.65,6.445,4578.143,30995.749,2011-07-01
Colombia,COL,COP,8400,1770.5,6498.64,12340901.87,2011-07-01
Costa Rica,CRI,CRC,2050,504.305,8268.859,4348350.66,2011-07-01
Czech Republic,CZE,CZK,69.32,17.0219,20184.18,385482.516,2011-07-01
Germany,DEU,EUR,3.4,0.697520315,43220.097,32574.703,2011-07-01
Denmark,DNK,DKK,28.5,5.19845,58240.45,327548.657,2011-07-01
Egypt,EGY,EGP,14.09,5.962,2922.796,16120.846,2011-07-01
Spain,ESP,EUR,3.5,0.697520315,30624.424,23081.427,2011-07-01
Estonia,EST,EUR,2.2,0.697520315,14697.472,11071.751,2011-07-01
Euro area,EUZ,EUR,3.437660401,0.697520315,38608.6744312323,29099.1110812839,2011-07-01
Finland,FIN,EUR,3.75,0.697520315,46647.994,35158.286,2011-07-01
France,FRA,EUR,3.5,0.697520315,40988.558,30892.806,2011-07-01
Britain,GBR,GBP,2.39,0.614137444,39821.429,25746.319,2011-07-01
Greece,GRC,EUR,3.26,0.697520315,26679.741,20108.345,2011-07-01
Hong Kong,HKG,HKD,15.1,7.7918,32421.361,251886.956,2011-07-01
Hungary,HUN,HUF,760,188.0724,13171.433,2738922.708,2011-07-01
Indonesia,IDN,IDR,22534,8523,3177.453,28884425.18,2011-07-01
India,IND,INR,84,44.4,1347.519,61395.924,2011-07-01
Ireland,IRL,EUR,3.8,0.697520315,48580.832,36615.053,2011-07-01
Israel,ISR,ILS,15.9,3.40335,31410.39,117442.663,2011-07-01
Italy,ITA,EUR,3.5,0.697520315,35963.743,27105.636,2011-07-01
Japan,JPN,JPY,320,78.365,45547.297,3998136.02,2011-07-01
South Korea,KOR,KRW,3700,1056.2,24069.073,27837451.71,2011-07-01
Sri Lanka,LKA,LKR,280,109.475,2894.26,327201.299,2011-07-01
Mexico,MEX,MXN,32,11.67075,9632.818,121720.366,2011-07-01
Malaysia,MYS,MYR,7.2,2.973,9046.985,29141.126,2011-07-01
Netherlands,NLD,EUR,3.25,0.697520315,51472.808,38794.717,2011-07-01
Norway,NOR,NOK,45,5.41405,89673.89,542003.938,2011-07-01
New Zealand,NZL,NZD,5.1,1.156069364,33480.853,46417.643,2011-07-01
Pakistan,PAK,PKR,205.13,86.345,1137.985,95493.77,2011-07-01
Peru,PER,PEN,10,2.7375,5202.194,14698.149,2011-07-01
Philippines,PHL,PHP,118,42.41,2237.157,100917.447,2011-07-01
Poland,POL,PLN,8.63,2.7968,12574.314,37915.329,2011-07-01
Portugal,PRT,EUR,2.9,0.697520315,22570.36,17011.132,2011-07-01
Russia,RUS,RUB,75,27.7525,11346.212,344723.759,2011-07-01
Saudi Arabia,SAU,SAR,10,3.7502,22028.379,82606.421,2011-07-01
Singapore,SGP,SGD,4.41,1.20705,47236.672,64407.595,2011-07-01
Sweden,SWE,SEK,48.4,6.3352,52333.624,377195.858,2011-07-01
Thailand,THA,THB,70,29.75,4973.863,157600.352,2011-07-01
Turkey,TUR,TRY,6.5,1.72285,10705.548,16078.97,2011-07-01
Taiwan,TWN,TWD,75,28.834,19181.358,607040.425,2011-07-01
Ukraine,UKR,UAH,16.5,7.994,3096.779,24575.203,2011-07-01
Uruguay,URY,UYU,90,18.45,12943.943,259543.31,2011-07-01
United States,USA,USD,3.64,1,48586.288,48586.288,2011-07-01
Venezuela,VEN,VEF,28,4.29465,11158.18,,2011-07-01
South Africa,ZAF,ZAR,19.45,6.76885,8101.967,59323.275,2011-07-01
UAE,ARE,AED,12,3.673,44180.166,162251.661,2012-01-01
Argentina,ARG,ARS,20,4.3135,10412.974,40739.985,2012-01-01
Australia,AUS,AUD,4.8,0.972337012,56757.308,61726.324,2012-01-01
Austria,AUT,EUR,3.09,0.788239467,46662.235,35169.02,2012-01-01
Belgium,BEL,EUR,3.7,0.788239467,44460.655,33509.703,2012-01-01
Brazil,BRA,BRL,10.25,1.805,11341.268,19953.07,2012-01-01
Canada,CAN,CAD,4.73,1.02095,47625.742,49059.883,2012-01-01
Switzerland,CHE,CHF,6.5,0.9551,78278.897,81637.503,2012-01-01
Chile,CHL,CLP,2050,506.05,12748.117,6504715.834,2012-01-01
China,CHN,CNY,15.4,6.3155,4578.143,30995.749,2012-01-01
Colombia,COL,COP,8400,1852.15,6498.64,12340901.87,2012-01-01
Costa Rica,CRI,CRC,2050,509.54,8268.859,4348350.66,2012-01-01
Czech Republic,CZE,CZK,70.22,20.36535,20184.18,385482.516,2012-01-01
Germany,DEU,EUR,3.53,0.788239467,43220.097,32574.703,2012-01-01
Denmark,DNK,DKK,31.5,5.86135,58240.45,327548.657,2012-01-01
Egypt,EGY,EGP,15.5,6.037,2922.796,16120.846,2012-01-01
Spain,ESP,EUR,3.5,0.788239467,30624.424,23081.427,2012-01-01
Estonia,EST,EUR,2.04,0.788239467,14697.472,11071.751,2012-01-01
Euro area,EUZ,EUR,3.49245637,0.788239467,38608.6744312323,29099.1110812839,2012-01-01
Finland,FIN,EUR,3.75,0.788239467,46647.994,35158.286,2012-01-01
France,FRA,EUR,3.6,0.788239467,40988.558,30892.806,2012-01-01
Britain,GBR,GBP,2.49,0.651253663,39821.429,25746.319,2012-01-01
Greece,GRC,EUR,3.3,0.788239467,26679.741,20108.345,2012-01-01
Hong Kong,HKG,HKD,16.5,7.76735,32421.361,251886.956,2012-01-01
Hungary,HUN,HUF,645,245.69425,13171.433,2738922.708,2012-01-01
Indonesia,IDN,IDR,22534,9160,3177.453,28884425.18,2012-01-01
India,IND,INR,84,51.905,1347.519,61395.924,2012-01-01
Ireland,IRL,EUR,3.8,0.788239467,48580.832,36615.053,2012-01-01
Israel,ISR,ILS,15.9,3.8485,31410.39,117442.663,2012-01-01
Italy,ITA,EUR,3.5,0.788239467,35963.743,27105.636,2012-01-01
Japan,JPN,JPY,320,76.92,45547.297,3998136.02,2012-01-01
South Korea,KOR,KRW,3700,1158.75,24069.073,27837451.71,2012-01-01
Sri Lanka,LKA,LKR,290,113.93,2894.26,327201.299,2012-01-01
Mexico,MEX,MXN,37,13.6844,9632.818,121720.366,2012-01-01
Malaysia,MYS,MYR,7.35,3.13955,9046.985,29141.126,2012-01-01
Netherlands,NLD,EUR,3.25,0.788239467,51472.808,38794.717,2012-01-01
Norway,NOR,NOK,41,6.0399,89673.89,542003.938,2012-01-01
New Zealand,NZL,NZD,5.1,1.26000126,33480.853,46417.643,2012-01-01
Pakistan,PAK,PKR,260,90.05,1137.985,95493.77,2012-01-01
Peru,PER,PEN,10,2.6925,5202.194,14698.149,2012-01-01
Philippines,PHL,PHP,118,44.005,2237.157,100917.447,2012-01-01
Poland,POL,PLN,9.1,3.52045,12574.314,37915.329,2012-01-01
Portugal,PRT,EUR,2.9,0.788239467,22570.36,17011.132,2012-01-01
Russia,RUS,RUB,81,31.7693,11346.212,344723.759,2012-01-01
Saudi Arabia,SAU,SAR,10,3.7502,22028.379,82606.421,2012-01-01
Singapore,SGP,SGD,4.85,1.2928,47236.672,64407.595,2012-01-01
Sweden,SWE,SEK,41,6.9338,52333.624,377195.858,2012-01-01
Thailand,THA,THB,78,31.75,4973.863,157600.352,2012-01-01
Turkey,TUR,TRY,6.6,1.86295,10705.548,16078.97,2012-01-01
Taiwan,TWN,TWD,75,29.9795,19181.358,607040.425,2012-01-01
Ukraine,UKR,UAH,17,8.0405,3096.779,24575.203,2012-01-01
Uruguay,URY,UYU,90,19.45,12943.943,259543.31,2012-01-01
United States,USA,USD,3.81,1,48586.288,48586.288,2012-01-01
Venezuela,VEN,VEF,30,4.29465,11158.18,,2012-01-01
South Africa,ZAF,ZAR,19.95,8.1304,8101.967,59323.275,2012-01-01
UAE,ARE,AED,12,3.67295,50925.197,187022.785,2012-07-01
Argentina,ARG,ARS,19,4.56625,12787.806,52810.117,2012-07-01
Australia,AUS,AUD,4.56,0.974326497,67508.541,65401.79,2012-07-01
Austria,AUT,EUR,3.19,0.824844311,51126.851,36736.705,2012-07-01
Belgium,BEL,EUR,3.8,0.824844311,47915.958,34429.549,2012-07-01
Brazil,BRA,BRL,10.08,2.04215,13326.088,22310.425,2012-07-01
Canada,CAN,CAD,5.12,1.01945,52285.815,51724.169,2012-07-01
Switzerland,CHE,CHF,6.5,0.9906,92386.106,82042.745,2012-07-01
Chile,CHL,CLP,2050,493.05,14602.219,7062618.838,2012-07-01
China,CHN,CNY,15.65,6.3885,5654.172,36517.566,2012-07-01
Colombia,COL,COP,8600,1804.475,7518.387,13894103.65,2012-07-01
Czech Republic,CZE,CZK,70.33,21.048,22068.782,390527.324,2012-07-01
Germany,DEU,EUR,3.64,0.824844311,47621.991,34218.322,2012-07-01
Denmark,DNK,DKK,28.5,6.1356,61920.301,332432.236,2012-07-01
Egypt,EGY,EGP,16,6.0665,3077.343,17909.048,2012-07-01
Spain,ESP,EUR,3.5,0.824844311,31767.697,22826.372,2012-07-01
Estonia,EST,EUR,2.04,0.824844311,17552.466,12612.155,2012-07-01
Euro area,EUZ,EUR,3.583482241,0.824844311,41407.8978847115,29753.2486410369,2012-07-01
Finland,FIN,EUR,3.75,0.824844311,51174.768,36771.135,2012-07-01
France,FRA,EUR,3.6,0.824844311,44197.638,31757.786,2012-07-01
Britain,GBR,GBP,2.69,0.646266197,42292.912,26387.691,2012-07-01
Greece,GRC,EUR,2.683,0.824844311,25457.905,18292.532,2012-07-01
Hong Kong,HKG,HKD,16.5,7.75815,34955.147,272090.864,2012-07-01
Hungary,HUN,HUF,830,238.2151,14191.149,2853201.382,2012-07-01
Indonesia,IDN,IDR,24200,9482.5,3690.097,32363747.86,2012-07-01
India,IND,INR,89,56.165,1445.461,69268.601,2012-07-01
Ireland,IRL,EUR,3.49,0.824844311,52552.841,37761.336,2012-07-01
Israel,ISR,ILS,11.9,4.07625,34488.9,123405.745,2012-07-01
Italy,ITA,EUR,3.6,0.824844311,38475.847,27646.448,2012-07-01
Japan,JPN,JPY,320,78.22,49122.91,3920353.071,2012-07-01
South Korea,KOR,KRW,3700,1151,26177.945,29008274.45,2012-07-01
Sri Lanka,LKA,LKR,290,131,3320.074,367240.604,2012-07-01
Mexico,MEX,MXN,37,13.687,10554.35,131120.117,2012-07-01
Malaysia,MYS,MYR,7.4,3.1735,10397.921,31817.666,2012-07-01
Netherlands,NLD,EUR,3.38,0.824844311,54814.546,39386.462,2012-07-01
Norway,NOR,NOK,43,6.09205,103130.128,578003.868,2012-07-01
New Zealand,NZL,NZD,5.1,1.273560876,38107.502,48166.108,2012-07-01
Pakistan,PAK,PKR,285,94.605,1301.736,111392.932,2012-07-01
Philippines,PHL,PHP,118,42.2,2473.249,107124.203,2012-07-01
Poland,POL,PLN,9.1,3.46035,13867.857,41088.379,2012-07-01
Portugal,PRT,EUR,4.95,0.824844311,23205.117,16673.813,2012-07-01
Russia,RUS,RUB,75,32.76525,14208.329,417331.551,2012-07-01
Saudi Arabia,SAU,SAR,10,3.75025,27126.75,101725.312,2012-07-01
Singapore,SGP,SGD,4.4,1.2585,53891.462,67783.381,2012-07-01
Sweden,SWE,SEK,39.97301987,6.9777,60165.275,390685.822,2012-07-01
Thailand,THA,THB,82,31.7,5373.623,163851.086,2012-07-01
Turkey,TUR,TRY,8.25,1.8269,11361.902,19050.233,2012-07-01
Taiwan,TWN,TWD,75,30.1955,20838.589,614090.637,2012-07-01
Ukraine,UKR,UAH,15,8.0855,3723.14,29682.729,2012-07-01
Uruguay,URY,UYU,99,21.87,15341.308,296143.502,2012-07-01
United States,USA,USD,3.96,1,50008.108,50008.108,2012-07-01
Venezuela,VEN,VEF,34,4.29465,10934.275,,2012-07-01
South Africa,ZAF,ZAR,19.95,8.4683,8773.175,63632.571,2012-07-01
UAE,ARE,AED,12,3.67305,50925.197,187022.785,2013-01-01
Argentina,ARG,ARS,19,4.9765,12787.806,52810.117,2013-01-01
Australia,AUS,AUD,4.7,0.959094615,67508.541,65401.79,2013-01-01
Austria,AUT,EUR,3.39,0.736946829,51126.851,36736.705,2013-01-01
Belgium,BEL,EUR,3.8,0.736946829,47915.958,34429.549,2013-01-01
Brazil,BRA,BRL,11.25,1.99335,13326.088,22310.425,2013-01-01
Canada,CAN,CAD,5.41,1.0029,52285.815,51724.169,2013-01-01
Switzerland,CHE,CHF,6.5,0.9123,92386.106,82042.745,2013-01-01
Chile,CHL,CLP,2050,471.75,14602.219,7062618.838,2013-01-01
China,CHN,CNY,16,6.2204,5654.172,36517.566,2013-01-01
Colombia,COL,COP,8600,1773.175,7518.387,13894103.65,2013-01-01
Costa Rica,CRI,CRC,2200,500.83,9270.571,4687846.084,2013-01-01
Czech Republic,CZE,CZK,70.33,18.89495,22068.782,390527.324,2013-01-01
Germany,DEU,EUR,3.64,0.736946829,47621.991,34218.322,2013-01-01
Denmark,DNK,DKK,28.5,5.49795,61920.301,332432.236,2013-01-01
Egypt,EGY,EGP,16,6.68575,3077.343,17909.048,2013-01-01
Spain,ESP,EUR,3.5,0.736946829,31767.697,22826.372,2013-01-01
Estonia,EST,EUR,2.7,0.736946829,17552.466,12612.155,2013-01-01
Euro area,EUZ,EUR,3.594849572,0.736946829,41407.8978847115,29753.2486410369,2013-01-01
Finland,FIN,EUR,3.75,0.736946829,51174.768,36771.135,2013-01-01
France,FRA,EUR,3.6,0.736946829,44197.638,31757.786,2013-01-01
Britain,GBR,GBP,2.69,0.633211968,42292.912,26387.691,2013-01-01
Greece,GRC,EUR,3.3,0.736946829,25457.905,18292.532,2013-01-01
Hong Kong,HKG,HKD,17,7.7591,34955.147,272090.864,2013-01-01
Hungary,HUN,HUF,830,217.46935,14191.149,2853201.382,2013-01-01
Indonesia,IDN,IDR,27939,9767.5,3690.097,32363747.86,2013-01-01
India,IND,INR,89,53.395,1445.461,69268.601,2013-01-01
Ireland,IRL,EUR,3.49,0.736946829,52552.841,37761.336,2013-01-01
Israel,ISR,ILS,14.9,3.72455,34488.9,123405.745,2013-01-01
Italy,ITA,EUR,3.85,0.736946829,38475.847,27646.448,2013-01-01
Japan,JPN,JPY,320,91.065,49122.91,3920353.071,2013-01-01
South Korea,KOR,KRW,3700,1085.475,26177.945,29008274.45,2013-01-01
Sri Lanka,LKA,LKR,350,126.45,3320.074,367240.604,2013-01-01
Mexico,MEX,MXN,37,12.7384,10554.35,131120.117,2013-01-01
Malaysia,MYS,MYR,7.95,3.083,10397.921,31817.666,2013-01-01
Netherlands,NLD,EUR,3.45,0.736946829,54814.546,39386.462,2013-01-01
Norway,NOR,NOK,43,5.4831,103130.128,578003.868,2013-01-01
New Zealand,NZL,NZD,5.2,1.202428906,38107.502,48166.108,2013-01-01
Pakistan,PAK,PKR,290,97.665,1301.736,111392.932,2013-01-01
Peru,PER,PEN,10,2.5595,5907.881,16260.949,2013-01-01
Philippines,PHL,PHP,118,40.6,2473.249,107124.203,2013-01-01
Poland,POL,PLN,9.1,3.092,13867.857,41088.379,2013-01-01
Portugal,PRT,EUR,2.95,0.736946829,23205.117,16673.813,2013-01-01
Russia,RUS,RUB,72.88,30.045,14208.329,417331.551,2013-01-01
Saudi Arabia,SAU,SAR,11,3.7502,27126.75,101725.312,2013-01-01
Singapore,SGP,SGD,4.5,1.23485,53891.462,67783.381,2013-01-01
Sweden,SWE,SEK,40.55930138,6.3492,60165.275,390685.822,2013-01-01
Thailand,THA,THB,87,29.755,5373.623,163851.086,2013-01-01
Turkey,TUR,TRY,8.45,1.76875,11361.902,19050.233,2013-01-01
Taiwan,TWN,TWD,75,29.502,20838.589,614090.637,2013-01-01
Ukraine,UKR,UAH,19,8.144,3723.14,29682.729,2013-01-01
