name,iso_a3,currency_code,local_price,dollar_ex,GDP_dollar,GDP_local,date
Malaysia,MYS,MYR,5.04,3.8,4189.053,15918.403,2002-04-01
Norway,NOR,NOK,35,8.56,38410.377,345372.829,2002-04-01
New Zealand,NZL,NZD,3.6,2.24,13669.239,32495.69,2002-04-01
Peru,PER,PEN,8.5,3.43,1911.026,6699.42,2002-04-01
Philippines,PHL,PHP,65,51,1003.957,51194.492,2002-04-01
Poland,POL,PLN,5.9,4.04,5003.492,20482.794,2002-04-01
Russia,RUS,RUB,39,31.2,2248.025,65581.153,2002-04-01
Singapore,SGP,SGD,3.3,1.82,21699.748,38879.926,2002-04-01
Sweden,SWE,SEK,26,10.4,27218.933,281148.054,2002-04-01
Thailand,THA,THB,55,43.3,1889.934,83973.373,2002-04-01
Turkey,TUR,TRY,4e+06,1324500,3115.14,3802.716,2002-04-01
Taiwan,TWN,TWD,70,34.8,13357.195,451647.956,2002-04-01
United States,USA,USD,2.35,1,37101.453,37101.453,2002-04-01
Venezuela,VEN,VEF,2500,857,4963.916,,2002-04-01
South Africa,ZAF,ZAR,9.7,10.9,2964.029,25499.541,2002-04-01
Argentina,ARG,ARS,4.1,2.88,2997.621,9315.73,2003-04-01
Australia,AUS,AUD,3,1.61,21740.244,39972.526,2003-04-01
Brazil,BRA,BRL,4.55,3.07,2844.405,8306.659,2003-04-01
Canada,CAN,CAD,3.2,1.45,24279.8,38127.61,2003-04-01
Switzerland,CHE,CHF,6.3,1.37,43290.345,67472.657,2003-04-01
Chile,CHL,CLP,1400,716,4472.867,3081521.774,2003-04-01
China,CHN,CNY,9.9,8.28,1157.332,9579.177,2003-04-01
Czech Republic,CZE,CZK,56.57,28.9,8096.686,265113.004,2003-04-01
Denmark,DNK,DKK,27.75,6.78,33304.059,262926.029,2003-04-01
Egypt,EGY,EGP,8,5.92,1355.278,5982.044,2003-04-01
Euro area,EUZ,EUR,2.71,0.909090909,23128.8767355177,24477.4484431206,2003-04-01
Britain,GBR,GBP,1.99,0.632911392,30208.587,20123.404,2003-04-01
Hong Kong,HKG,HKD,11.5,7.8,24731.081,192890.065,2003-04-01
Hungary,HUN,HUF,490,224,6647.318,1714099.459,2003-04-01
Indonesia,IDN,IDR,16100,8740,1002.907,9338261.498,2003-04-01
Japan,JPN,JPY,262,120,33327.592,4178880.746,2003-04-01
South Korea,KOR,KRW,3300,1220,13637.337,17068525.68,2003-04-01
Mexico,MEX,MXN,23,10.53,7934.694,76617.078,2003-04-01
Malaysia,MYS,MYR,5.04,3.8,4441.824,16878.93,2003-04-01
New Zealand,NZL,NZD,3.95,1.78,15706.932,33834.784,2003-04-01
Peru,PER,PEN,7.9,3.46,1997.132,7027.742,2003-04-01
Philippines,PHL,PHP,65,52.5,1050.297,54199.066,2003-04-01
Poland,POL,PLN,6.3,3.89,5221.833,21305.251,2003-04-01
Russia,RUS,RUB,41,31.1,2535.724,79515.621,2003-04-01
Singapore,SGP,SGD,3.3,1.78,22159.833,39679.139,2003-04-01
Sweden,SWE,SEK,30,8.34,29904.665,291185.408,2003-04-01
Thailand,THA,THB,59,42.7,2089.752,89775.912,2003-04-01
Turkey,TUR,TRY,3750000,1600500,3616.114,5498.338,2003-04-01
Taiwan,TWN,TWD,70,34.8,13651.355,472049.054,2003-04-01
United States,USA,USD,2.46,1,37945.761,37945.761,2003-04-01
Venezuela,VEN,VEF,3700,1598,3778.255,,2003-04-01
South Africa,ZAF,ZAR,13.95,7.56,2778.115,29216.048,2003-04-01
Argentina,ARG,ARS,4.36,2.95,3761.088,11098.367,2004-05-01
Australia,AUS,AUD,3.25,1.43,27337.48,41938.443,2004-05-01
Brazil,BRA,BRL,5.4,3.18,3077.735,9471.679,2004-05-01
Canada,CAN,CAD,3.19,1.37,28340.085,39704.871,2004-05-01
Switzerland,CHE,CHF,6.3,1.29,50122.321,67497.266,2004-05-01
Chile,CHL,CLP,1400,641,4817.24,3330627.98,2004-05-01
China,CHN,CNY,10.4,8.28,1300.759,10766.45,2004-05-01
Colombia,COL,COP,6500,2769.83,2313.528,6657278.493,2004-05-01
Costa Rica,CRI,CRC,1130,433.55,4227.819,1684992.065,2004-05-01
Czech Republic,CZE,CZK,56.42,26.5,9857.191,277964.737,2004-05-01
Denmark,DNK,DKK,27.75,6.22,40572.443,267278.003,2004-05-01
Egypt,EGY,EGP,10,6.19,1252.404,6455.752,2004-05-01
Euro area,EUZ,EUR,2.74,0.833333333,28326.6531314054,25048.3869400919,2004-05-01
Britain,GBR,GBP,1.88,0.558659218,34594.377,21169.777,2004-05-01
Hong Kong,HKG,HKD,12,7.79,23856.482,185782.354,2004-05-01
Hungary,HUN,HUF,530,211,8399.771,1884124.729,2004-05-01
Indonesia,IDN,IDR,16100,9120,1186.465,10176465.26,2004-05-01
Japan,JPN,JPY,262,113,35832.143,4154144.422,2004-05-01
South Korea,KOR,KRW,3200,1177,15211.145,18126297.05,2004-05-01
Sri Lanka,LKA,LKR,140,99,1162.71,112150.411,2004-05-01
Mexico,MEX,MXN,24,11.6,7390.343,79734.537,2004-05-01
Malaysia,MYS,MYR,5.04,3.8,4740.324,18013.231,2004-05-01
Norway,NOR,NOK,35.5,6.8491,50119.478,354856.761,2004-05-01
New Zealand,NZL,NZD,4.35,1.64,20460.331,35139.161,2004-05-01
Pakistan,PAK,PKR,110,57.76,771.761,45147.64,2004-05-01
Peru,PER,PEN,8.99,3.49,2149.254,7470.629,2004-05-01
Philippines,PHL,PHP,69,55.9,1062.619,57597.497,2004-05-01
Poland,POL,PLN,6.3,3.87,5718.727,22240.557,2004-05-01
Russia,RUS,RUB,42,29,3165.547,97069.205,2004-05-01
Saudi Arabia,SAU,SAR,2.4,3.7502,11027.928,41354.731,2004-05-01
Singapore,SGP,SGD,3.3,1.71,23730.379,41342.672,2004-05-01
Sweden,SWE,SEK,30,7.61,37219.759,300970.29,2004-05-01
Thailand,THA,THB,59,40.8,2347.54,97386.798,2004-05-01
Turkey,TUR,TRY,3950000,1531000,4750.989,7086.884,2004-05-01
Taiwan,TWN,TWD,75,33.4,14040.597,483266.82,2004-05-01
Ukraine,UKR,UAH,7.25,5.3315,1096.291,5846.179,2004-05-01
Uruguay,URY,UYU,29.8,29.735,3941.678,111042.32,2004-05-01
United States,USA,USD,2.47,1,39405.354,39405.354,2004-05-01
Venezuela,VEN,VEF,4400,2977,3266.095,,2004-05-01
South Africa,ZAF,ZAR,12.4,6.66,4191.4,31707.244,2004-05-01
UAE,ARE,AED,9,3.6725,34944.807,128334.805,2005-06-01
Argentina,ARG,ARS,4.75,2.897,4314.098,12690.697,2005-06-01
Australia,AUS,AUD,3.25,1.3015,32914.151,44685.167,2005-06-01
Brazil,BRA,BRL,5.9,2.4648,3647.959,10670.706,2005-06-01
Canada,CAN,CAD,3.28,1.2494,32178.496,41873.285,2005-06-01
Switzerland,CHE,CHF,6.3,1.2475,55501.929,69016.418,2005-06-01
Chile,CHL,CLP,1500,592.45,6176.397,3764694.159,2005-06-01
China,CHN,CNY,10.5,8.2764,1522.439,12600.902,2005-06-01
Colombia,COL,COP,6500,2327.7,2827.165,7430831.45,2005-06-01
Costa Rica,CRI,CRC,1130,475.3,4483.59,1963026.314,2005-06-01
Czech Republic,CZE,CZK,56.42,24.5409,11784.605,302861.394,2005-06-01
Denmark,DNK,DKK,27.75,6.0647,46684.835,279691.495,2005-06-01
Egypt,EGY,EGP,9,5.8,1195.597,7363.365,2005-06-01
Euro area,EUZ,EUR,2.92,0.814929509,32259.7557285329,25946.0883729615,2005-06-01
Britain,GBR,GBP,1.88,0.546448087,40548.325,22137.498,2005-06-01
Hong Kong,HKG,HKD,12,7.7807,24873.898,193734.498,2005-06-01
Hungary,HUN,HUF,530,203.643,10281.244,2084479.391,2005-06-01
Indonesia,IDN,IDR,14600,9545,1279.721,11439233.97,2005-06-01
Japan,JPN,JPY,250,106.715,38685.774,4185513.301,2005-06-01
South Korea,KOR,KRW,2500,1005.5,17107.739,19609731.76,2005-06-01
Sri Lanka,LKA,LKR,175,99.945,1259.771,127582.909,2005-06-01
Mexico,MEX,MXN,28,10.8675,7806.561,88104.588,2005-06-01
Malaysia,MYS,MYR,5.25,3.8,5244.873,19930.516,2005-06-01
Norway,NOR,NOK,39,6.4326,57762.653,389368.417,2005-06-01
New Zealand,NZL,NZD,4.45,1.4023,24848.791,37422.408,2005-06-01
Pakistan,PAK,PKR,130,59.62,885.149,50961.958,2005-06-01
Peru,PER,PEN,8.99,3.2546,2408.499,8209.37,2005-06-01
Philippines,PHL,PHP,80,54.55,1137.068,63721.173,2005-06-01
Poland,POL,PLN,6.5,3.3096,6715.106,24543.712,2005-06-01
Russia,RUS,RUB,42,28.4055,4362.128,125664.333,2005-06-01
Saudi Arabia,SAU,SAR,9,3.7501,12891.345,48342.545,2005-06-01
Singapore,SGP,SGD,3.6,1.6607,27608.075,46663.95,2005-06-01
Sweden,SWE,SEK,31,7.4402,42673.334,313601.495,2005-06-01
Thailand,THA,THB,60,40.53,2641.563,106250.031,2005-06-01
Turkey,TUR,TRY,4,1.369,6040.164,8649.443,2005-06-01
Taiwan,TWN,TWD,75,31.175,15290.307,511092.54,2005-06-01
Ukraine,UKR,UAH,7.25,5.06,1427.178,7591.087,2005-06-01
Uruguay,URY,UYU,44,24.125,4476.943,128265.53,2005-06-01
United States,USA,USD,2.58,1,41641.617,41641.617,2005-06-01
Venezuela,VEN,VEF,5600,2629.62,4311.999,,2005-06-01
South Africa,ZAF,ZAR,13.95,6.6482,5392.861,34784.402,2005-06-01
Argentina,ARG,ARS,4.75,3.0638,4314.098,12690.697,2006-01-01
Australia,AUS,AUD,3.25,1.3308,32914.151,44685.167,2006-01-01
Brazil,BRA,BRL,6.2,2.2615,3647.959,10670.706,2006-01-01
Canada,CAN,CAD,3.52,1.1704,32178.496,41873.285,2006-01-01
Switzerland,CHE,CHF,6.3,1.2776,55501.929,69016.418,2006-01-01
Chile,CHL,CLP,1560,522.75,6176.397,3764694.159,2006-01-01
China,CHN,CNY,10.5,8.0641,1522.439,12600.902,2006-01-01
Czech Republic,CZE,CZK,62,23.8375,11784.605,302861.394,2006-01-01
Denmark,DNK,DKK,27.75,6.1769,46684.835,279691.495,2006-01-01
Egypt,EGY,EGP,9.25,5.74,1195.597,7363.365,2006-01-01
Euro area,EUZ,EUR,2.91,0.82815735,32259.7557285329,25946.0883729615,2006-01-01
Britain,GBR,GBP,1.88,0.566925563,40548.325,22137.498,2006-01-01
Hong Kong,HKG,HKD,12,7.7512,24873.898,193734.498,2006-01-01
Hungary,HUN,HUF,560,206.956,10281.244,2084479.391,2006-01-01
Indonesia,IDN,IDR,14600,9460,1279.721,11439233.97,2006-01-01
Japan,JPN,JPY,250,114.305,38685.774,4185513.301,2006-01-01
South Korea,KOR,KRW,2500,977.45,17107.739,19609731.76,2006-01-01
Mexico,MEX,MXN,28,10.5425,7806.561,88104.588,2006-01-01
Malaysia,MYS,MYR,5.5,3.7488,5244.873,19930.516,2006-01-01
New Zealand,NZL,NZD,4.45,1.4467,24848.791,37422.408,2006-01-01
Peru,PER,PEN,9.5,3.446,2408.499,8209.37,2006-01-01
Philippines,PHL,PHP,82,52.58,1137.068,63721.173,2006-01-01
Poland,POL,PLN,6.5,3.1151,6715.106,24543.712,2006-01-01
Russia,RUS,RUB,46,28.67,4362.128,125664.333,2006-01-01
Singapore,SGP,SGD,3.6,1.6353,27608.075,46663.95,2006-01-01
Sweden,SWE,SEK,33,7.7119,42673.334,313601.495,2006-01-01
Thailand,THA,THB,60,39.755,2641.563,106250.031,2006-01-01
Turkey,TUR,TRY,4.1,1.3365,6040.164,8649.443,2006-01-01
Taiwan,TWN,TWD,75,31.9495,15290.307,511092.54,2006-01-01
United States,USA,USD,2.67,1,41641.617,41641.617,2006-01-01
