date,iso_a3,currency_code,name,local_price,dollar_ex,dollar_price,USD_raw,EUR_raw,GBP_raw,JPY_raw,CNY_raw,GDP_bigmac,adj_price,USD_adjusted,EUR_adjusted,GBP_adjusted,JPY_adjusted,CNY_adjusted
2000-04-01,TWN,TWD,Taiwan,70,30.6,2.28758169934641,0.02124,-0.03915,-0.23798,-0.17523,0.91325,14201.457536,2.0434641320418,0.2082,0.0056,-0.19105,-0.04172,0.69646
2000-04-01,USA,USD,United States,2.24,1,2.24,0,-0.05914,-0.25383,-0.19238,0.87345,34496.241,2.41755137319971,0,-0.16768,-0.33045,-0.20685,0.40412
2000-04-01,ZAF,ZAR,South Africa,9,6.72,1.33928571428571,-0.4021,-0.43746,-0.55387,-0.51713,0.12013,5208.99729777778,1.87770899364843,-0.23021,-0.35929,-0.48459,-0.38944,0.08088
2001-04-01,ARG,ARS,Argentina,2.5,1,2.5,0.11607,0.10541,-0.12148,0.05442,1.09091,7740.134528,1.70648345027838,0.56294,0.29902,0.04321,0.42238,0.91697
2001-04-01,AUS,AUD,Australia,3,1.98,1.51515151515152,-0.32359,-0.33005,-0.46756,-0.36096,0.26722,26866.8818133333,2.16386240771532,-0.25298,-0.37912,-0.50139,-0.32017,-0.08377
2001-04-01,BRA,BRL,Brazil,3.6,2.19,1.64383561643836,-0.26614,-0.27315,-0.42234,-0.30668,0.37484,4270.8624,1.62352255550113,0.0802,-0.1022,-0.279,-0.01695,0.32488
2001-04-01,CAN,CAD,Canada,3.33,1.56,2.13461538461538,-0.04705,-0.05615,-0.24988,-0.09969,0.78531,24276.8953273273,2.1019279187469,0.08344,-0.09951,-0.27684,-0.014,0.32886
2001-04-01,CHE,CHF,Switzerland,6.3,1.73,3.64161849710983,0.62572,0.6102,0.27969,0.53592,2.04572,23668.9770666667,2.08739073601949,0.8612,0.54692,0.24229,0.69382,1.2828
2001-04-01,CHL,CLP,Chile,1260,601,2.09650582362729,-0.06406,-0.073,-0.26327,-0.11576,0.75344,4884.21082666667,1.63818959008623,0.36532,0.13478,-0.08869,0.24254,0.67459
2001-04-01,CHN,CNY,China,9.9,8.28,1.19565217391304,-0.46623,-0.47132,-0.57984,-0.49571,0,1803.49934545455,1.56452036737833,-0.18468,-0.32236,-0.4558,-0.25801,0
2001-04-01,CZE,CZK,Czech Republic,56,39,1.43589743589744,-0.35897,-0.3651,-0.49542,-0.39438,0.20093,9339.082,1.74471916892044,-0.12199,-0.27025,-0.41395,-0.20095,0.0769
2001-04-01,DNK,DKK,Denmark,24.75,8.46,2.92553191489362,0.30604,0.29357,0.02805,0.2339,1.44681,22515.5174787879,2.05980799359709,0.51524,0.25938,0.01137,0.37897,0.85847
2001-04-01,EUZ,EUR,Euro area,2.57,1.136363636,2.26160000072371,0.00964,0,-0.20526,-0.04613,0.89152,20238.9234736622,2.00536767622175,0.20316,0,-0.19693,0.09496,0.4757
2001-04-01,GBR,GBP,Britain,1.99,0.699300699,2.84570000122365,0.2704,0.25827,0,0.20023,1.38004,21117.8859095477,2.02638635318518,0.4982,0.24522,0,0.36346,0.83757
2001-04-01,HKG,HKD,Hong Kong,10.7,7.8,1.37179487179487,-0.38759,-0.39344,-0.51794,-0.42142,0.14732,41719.4680523365,2.51903311750174,-0.41902,-0.51713,-0.61222,-0.47127,-0.28742
2001-04-01,HUN,HUF,Hungary,399,303,1.31683168316832,-0.41213,-0.41774,-0.53726,-0.4446,0.10135,7326.63488,1.69659541050448,-0.17195,-0.31178,-0.44731,-0.24642,0.01561
2001-04-01,IDN,IDR,Indonesia,14700,10855,1.35421464762782,-0.39544,-0.40121,-0.52412,-0.42883,0.13262,1116.68429714286,1.54809652143827,-0.06676,-0.22435,-0.37709,-0.15069,0.14463
2001-04-01,JPN,JPY,Japan,294,124,2.37096774193548,0.05847,0.04836,-0.16682,0,0.98299,32642.9656457143,2.30198621736844,0.09882,-0.08673,-0.26657,0,0.34772
